Time,CPU%,RAM
Time : 2022-04-29-15:52:02 , CPU : 0.0 % , RAM : 231.21 MB 0.71 %
Time : 2022-04-29-15:52:05 , CPU : 0.0 % , RAM : 231.17 MB 0.71 %
